,Bairro,qtdLinhas
0,COMERCIO,4
1,BARBALHO,5
2,SANTO ANTONIO,1
3,MACAUBAS,1
4,SAUDE,1
5,CENTRO HISTORICO,0
6,NAZARE,3
7,TORORO,1
8,BARRIS,0
9,CENTRO,0
10,GARCIA,2
11,DOIS DE JULHO,0
12,BAIXA DOS SAPATEIROS,4
13,LAPA,68
14,TERREIRO DE JESUS,0
15,RIBEIRA,29
16,ITAPAGIPE,0
17,MASSARANDUBA,4
18,BONFIM,4
19,MONTE SERRAT,0
20,BOA VIAGEM,0
21,VILA RUI BARBOSA,3
22,URUGUAI,1
23,MARES,0
24,CALCADA,2
25,CAMINHO DE AREIA,0
26,ALTO DO CABRITO,4
27,MARECHAL RONDON,6
28,LOBATO,3
29,CAMPINAS DE PIRAJA,0
30,BOA VISTA DE SAO CAETANO,5
31,CAPELINHA,5
32,SAO CAETANO,6
33,SANTA LUZIA,0
34,BOM JUA,4
35,FAZENDA GRANDE DO RETIRO,4
36,CAMPINAS,0
37,LIBERDADE,2
38,LAPINHA,0
39,CAIXA D’AGUA,3
40,PERO VAZ,2
41,CURUZU,1
42,SANTA MONICA,2
43,BAIXA DE QUINTAS,0
44,CIDADE NOVA,1
45,PAU MIUDO,3
46,IAPI,3
47,LARGO DO RETIRO,4
48,LARGO DO TANQUE,4
49,SOLEDADE,0
50,COSME DE FARIAS,4
51,VILA LAURA,0
52,ENGENHO VELHO DE BROTAS,3
53,BROTAS,7
54,BOA VISTA DE BROTAS,0
55,PARQUE BELA VISTA,0
56,MATATU,2
57,BARRA,29
58,GRACA,0
59,VITORIA,0
60,FEDERACAO,3
61,ONDINA,10
62,ALTO DAS POMBAS,0
63,CHAME-CHAME,2
64,RIO VERMELHO,1
65,ENGENHO VELHO DA FEDERACAO,4
66,ALTO DA SANTA CRUZ,0
67,NORDESTE,7
68,AMARALINA,0
69,VASCO DA GAMA,2
70,SANTA CRUZ,5
71,PITUBA,47
72,COSTA AZUL,0
73,JARDIM ARMACAO,0
74,STIEP,2
75,CAMINHO DAS ARVORES,0
76,ITAIGARA,6
77,IMBUI,5
78,PITUACU,0
79,PATAMARES,2
80,BOCA DO RIO,11
81,JARDIM DAS MARGARIDAS,6
82,PARQUE SAO CRISTOVAO,4
83,SAO CRISTOVAO,4
84,MUSSURUNGA,3
85,AEROPORTO,14
86,IPITANGA,0
87,FLAMENGO,0
88,STELLA MARIS,1
89,PARQUE DO ABAETE,0
90,ITAPUA,20
91,PLACAFORD,0
92,BAIRRO DA PAZ,3
93,PIATA,1
94,MUSSURUNGA I,4
95,ALTO DO COQUEIRO,5
96,NOVA BRASILIA-ITAPUA,0
97,BARROS REIS,0
98,CABULA,2
99,RESGATE,0
100,PERNAMBUES,9
101,SARAMANDAIA,0
102,NARANDIBA,9
103,DORON,3
104,SABOEIRO,1
105,SAO GONCALO,1
106,BARREIRAS,0
107,SUSSUARANA,9
108,NOVA SUSSUARANA,1
109,CAB,1
110,CABULA VI,0
111,BEIRU,0
112,TANCREDO NEVES,7
113,ENGOMADEIRA,2
114,CONJ. ACM,0
115,MATA ESCURA,5
116,CALABETAO,1
117,ARENOSO,2
118,JARDIM STO INACIO,5
119,PORTO SECO PIRAJA,0
120,DOM AVELAR,1
121,JARDIM CAJAZEIRAS,1
122,VILA CANARIA,2
123,CASTELO BRANCO,15
124,PAU DA LIMA,4
125,SETE DE ABRIL,2
126,SAO MARCOS,3
127,NOVO MAROTINHO,0
128,JARDIM NOVA ESPERANCA,4
129,SAO RAFAEL,0
130,CANABRAVA,1
131,NOVA BRASILIA,8
132,VALE DOS LAGOS,2
133,TROBOGY,4
134,CAJAZEIRAS,2
135,AGUAS CLARAS,3
136,BOCA DA MATA,16
137,CAJAZEIRAS V,2
138,CAJAZEIRAS VIII,0
139,CAJAZEIRAS X,2
140,CAJAZEIRA XI,0
141,PARQUE SAO PAULO,0
142,CEASA,0
143,BICO DOCE,0
144,PALESTINA,1
145,CASSANGE,1
146,ITINGA,0
147,AREIA BRANCA,0
148,JARDIM CAMPO VERDE,0
149,NOVA ESPERANCA ,0
150,VALERIA,5
151,LAGOA DA PAIXAO,1
152,PARQUE DE PIRAJA,0
153,REPRESA DO COBRE,0
154,PIRAJA,10
155,SAO TOME DE PARIPE,0
156,PARIPE,13
157,FAZENDA COUTOS,8
158,COUTOS,0
159,PERIPERI,1
160,PRAIA GRANDE,0
161,ESCADA,0
162,ALTO DA TEREZINHA,0
163,ITACARANHA,0
164,PARQUE SAO BARTOLOMEU,0
165,PLATAFORMA,5
166,RIO SENA,4
167,ILHA AMARELA,0
168,ALTO DE COUTOS,6
